experiment_id,context,horizon,d_model,rmse
0,12,6,32,7.414846075393429
1,12,6,64,5.292066704154503
2,12,6,128,4.856485863337388
3,12,12,32,12.322836937193646
4,12,12,64,6.155182256905368
5,12,12,128,5.598321847149595
6,12,18,32,14.676632760764164
7,12,18,64,9.227236394473277
8,12,18,128,5.198340062981681
9,12,24,32,16.21216109839983
10,12,24,64,10.068827470023198
11,12,24,128,6.183761854651975
12,24,6,32,15.019950315187568
13,24,6,64,4.889239715261068
14,24,6,128,8.406958794757935
15,24,12,32,14.323846974995437
16,24,12,64,6.17709431210379
17,24,12,128,5.300861670067465
18,24,18,32,14.892711705343542
19,24,18,64,8.12193827529219
20,24,18,128,6.766542297623458
21,24,24,32,15.946564135099566
22,24,24,64,8.19054047716666
23,24,24,128,6.5662098888694915
24,36,6,32,10.405644762922137
25,36,6,64,4.5657122029900465
26,36,6,128,5.487154785976396
27,36,12,32,13.395460219499272
28,36,12,64,6.2606004464779135
29,36,12,128,4.858483922771797
30,36,18,32,13.767829017122727
31,36,18,64,8.895070766191063
32,36,18,128,6.465901655322991
33,36,24,32,13.970592675931714
34,36,24,64,14.855473372172565
35,36,24,128,10.011732085803642
36,48,6,32,13.043757814369364
37,48,6,64,8.737790553947173
38,48,6,128,7.798153575573671
39,48,12,32,14.970366643519665
40,48,12,64,11.607658988460283
41,48,12,128,8.274991646846
42,48,18,32,12.637473412550852
43,48,18,64,9.634235657492583
44,48,18,128,7.490948874005148
45,48,24,32,13.68304956275881
46,48,24,64,12.674891027098738
47,48,24,128,10.849866917229079
48,60,6,32,11.009929337027902
49,60,6,64,9.15317731212646
50,60,6,128,8.488462359290855
51,60,12,32,12.05274750976638
52,60,12,64,12.314123985738199
53,60,12,128,7.767083566415746
54,60,18,32,15.310993229437305
55,60,18,64,12.577670071353761
56,60,18,128,5.967476434297541
57,72,6,32,10.18436463207128
58,72,6,64,11.309444794725398
59,72,6,128,10.351957539631996
